cep,count,state,region,country,lat,lon
66025-160,1,Pará,Região Norte,Brasil,-1.4627065,-48.4946224
68501240,1,Pará,Região Norte,Brasil,-5.3786001,-49.1360295
24210445,1,Rio de Janeiro,Região Sudeste,Brasil,-22.9025555,-43.1219771
66085148,2,Pará,Região Norte,Brasil,-1.4304441,-48.4793189
Avenida José do Espírito Santo Araújo,1,Amapá,Região Norte,Brasil,0.0513402,-51.0501757
16872,1, Centre County, Pensilvânia,EstadosUnidos,40.9429681696187,-77.44517484197601
62010010,1,Ceará,Região Nordeste,Brasil,-3.689789100000001,-40.3526848
66823076,1,Pará,Região Norte,Brasil,-1.351482,-48.4643622
1232000,1,NaN,NAN,NAN,NAN,NAN
17068,1,Perry County, Pensilvânia,EstadosUnidos,40.4186034497556,-77.17144486845804
67015000,1,Pará,Região Norte,Brasil,-1.374035,-48.4016623
66075110,1,Pará,Região Norte,Brasil,-1.4710713,-48.4588511
66093040,2,Pará,Região Norte,Brasil,-1.4343907,-48.4572565
68901-025,1,Amapá,Região Norte,Brasil,0.0291182,-51.062046
24436630,1,Rio de Janeiro,Região Sudeste,Brasil,-22.8211722,-43.0645026
13084791,1,São Paulo,Região Sudeste,Brasil,-22.8275647,-47.073614
66075280,1,Pará,Região Norte,Brasil,-1.45056,-48.4682453
66033630,1,Pará,Região Norte,Brasil,-1.4726616,-48.4834473
67120600,1,Pará,Região Norte,Brasil,-1.3409033,-48.42653120000001
67110230,1,Pará,Região Norte,Brasil,-1.3933401,-48.411908
